filename;Titel;Autor_normalisiert;Jahr;Geschlecht
k00200001864;Michel;Scherr, Johannes;1858;m
k00200001866;Die Pilger der Wildnis;Scherr, Johannes;1853;m
k00200001872;Benkal, der Frauentröster;Schickele, René;1913;m
k00200001880;Meine Freundin Lo;Schickele, René;1911;m
k00200001884;Irrwege der Liebe;Schirokauer, Alfred;1919;m
k00200001886;Lassalle;Schirokauer, Alfred;1912;m
k00200001888;Das Lied der Parzen;Schirokauer, Alfred;1912;m
k00200001907;Bürgerliche Bohème;Schmitz, Oscar A. H.;1918;m
k00200001933;Künstlerblut;Schobert, Hedwig;1892;m
k00200001938;Der deutsche Herzog;Schreckenbach, Paul;1914;m
k00200001939;Der getreue Kleist;Schreckenbach, Paul;1909;m
k00200001941;Der böse Baron von Krosigk;Schreckenbach, Paul;1907;m
k00200001942;Michael Meyenburg;Schreckenbach, Paul;1919;m
k00200001943;Die letzten Rudelsburger;Schreckenbach, Paul;1913;m
k00200001944;Um die Wartburg;Schreckenbach, Paul;1912;m
k00200001945;Wildefüer;Schreckenbach, Paul;1919;m
k00200001949;Gräfin Erikas Lehr- und Wanderjahre;Schubin, Ossip;1892;m
k00200001950;Im gewohnten Geleis;Schubin, Ossip;1901;m
k00200001951;Marška;Schubin, Ossip;1902;m
k00200001952;Maximum;Schubin, Ossip;1896;m
k00200001955;Der Rosenkavalier;Schubin, Ossip;1900;m
k00200001965;Rodanseck;Schwerin, Josephine Gräfin;1883;f
k00200001969;Eine dunkle Tat;Schücking, Levin;1896;m
k00200001972;Luther in Rom;Schücking, Levin;1870;m
k00200001974;Die Marketenderin von Köln;Schücking, Levin;1860;m
k00200002009;Das blutige Blockhaus;Sealsfield, Charles;1834;m
k00200002010;Das Kajütenbuch oder Nationale Charakteristiken;Sealsfield, Charles;1843;m
k00200002011;Der Legitime und die Republikaner;Sealsfield, Charles;1833;m
k00200002013;Nathan der Squatter;Sealsfield, Charles;1835;m
k00200002015;Tokeah;Sealsfield, Charles;1828;m
k00200002016;Der Virey und die Aristokraten;Sealsfield, Charles;1835;m
k00200002019;Reinhard Flemmings Abenteuer zu Wasser und zu Lande;Seidel, Heinrich;1888;m
k00200002062;Fischke der Krumme;Sfurim, Mendele Moicher;1869;m
k00200002072;Der Wagehals;Skowronnek, Fritz;1866;m
k00200002073;Schweigen im Walde;Skowronnek, Richard;1909;m
k00200002074;Sturmzeichen;Skowronnek, Richard;1914;m
k00200002078;Seemanns-Sagen und Schiffer-Märchen;Smidt, Heinrich;1835;m
k00200002085;Die Höhlenkinder – Im Heimlichen Grund;Sonnleitner, A. Th.;1918;m
k00200002086;Die Höhlenkinder – Im Pfahlbau;Sonnleitner, A. Th.;1918;m
k00200002087;Die Höhlenkinder – Im Steinhaus;Sonnleitner, A. Th.;1920;m
k00200002089;Heidehof Lohe;Speckmann, Diedrich;1906;m
k00200002091;Frei geboren;Spielhagen, Friedrich;1900;m
k00200002092;Noblesse oblige;Spielhagen, Friedrich;1888;m
k00200002093;Opfer;Spielhagen, Friedrich;1899;m
k00200002094;Platt Land;Spielhagen, Friedrich;1878;m
k00200002095;Quisisana;Spielhagen, Friedrich;1880;m
k00200002096;Sturmflut;Spielhagen, Friedrich;1877;m
k00200002097;Susi;Spielhagen, Friedrich;1889;m
k00200002098;Uhlenhans;Spielhagen, Friedrich;1884;m
k00200002100;Der Vogelhändler von Imst;Spindler, Carl;1841;m
k00200002101;Der Jesuit;Spindler, Carl;1829;m
k00200002120;Im Rhonetal;Spyri, Johanna;1896;f
k00200002123;Was soll denn aus ihr werden?;Spyri, Johanna;1887;f
k00200002125;Schloss Wildenstein;Spyri, Johanna;1892;f
k00200002131;Drei Nächte;Stehr, Hermann;1909;m
k00200002132;Der begrabene Gott;Stehr, Hermann;1905;m
k00200002134;Der Heiligenhof;Stehr, Hermann;1918;m
k00200002140;Irmela;Steinhausen, Heinrich;1881;m
k00200002176;Wilhelmine Buchholz' Memoiren;Stinde, Julius;1895;m
k00200002177;Emma das geheimnißvolle Hausmädchen;Stinde, Julius;1904;m
k00200002178;Die Familie Buchholz. Aus dem Leben der Hauptstadt;Stinde, Julius;1884;m
k00200002179;Buchholzens in Italien;Stinde, Julius;1883;m
k00200002180;Frau Buchholz im Orient;Stinde, Julius;1888;m
k00200002187;Morgenrot;Stoessl, Otto;1912;m
k00200002190;Sonjas letzter Name;Stoessl, Otto;1908;m
k00200002197;Schloß Vogelöd;Stratz, Rudolph;1900;m
k00200002198;Der weiße Tod;Stratz, Rudolph;1897;m
k00200002200;Arme Thea!;Stratz, Rudolph;1896;m
k00200002201;Die armen Reichen;Stratz, Rudolph;1909;m
k00200002203;Die kleine Elten;Stratz, Rudolph;1895;m
k00200002204;Seine englische Frau;Stratz, Rudolph;1913;m
k00200002205;Die ewige Burg;Stratz, Rudolph;1900;m
k00200002206;Das freie Meer;Stratz, Rudolph;1908;m
k00200002208;Für Dich;Stratz, Rudolph;1908;m
k00200002209;Herzblut;Stratz, Rudolph;1908;m
k00200002210;Hexenkessel;Stratz, Rudolph;1894;m
k00200002211;Die törichte Jungfrau;Stratz, Rudolph;1900;m
k00200002215;Montblanc;Stratz, Rudolph;1899;m
k00200002217;Das Schiff ohne Steuer;Stratz, Rudolph;1789;m
k00200002218;Unter den Linden;Stratz, Rudolph;1893;m
k00200002219;Lieb Vaterland;Stratz, Rudolph;1911;m
k00200002227;Saat und Ernte;Armand_(Friedrich Strubberg);1866;m
k00200002231;Die weißen Götter – Zweiter Band;Stucken, Eduard;1917;m
k00200002234;Das Gelübde einer dreißigjährigen Frau;Sturza, Marie Tihanyi Gräfin;1905;f
k00200002238;Der Katzensteg;Sudermann, Hermann;1890;m
k00200002241;Die Geheimnisse von Paris;Sue, Eugen;1844;m
k00200002243;Eva Siebeck;Suttner, Bertha von;1892;f
k00200002247;Jä gäll, so geit's!;Tavel, Rudolf von;1901;m
k00200002252;Altaich;Thoma, Ludwig;1918;m
k00200002253;Jozef Filsers Briefwexel;Thoma, Ludwig;1912;m
k00200002263;Satiren;Thoma, Ludwig;1912;m
k00200002278;Der Letzte vom »Admiral«;Treller, Franz;1899;m
k00200002279;Der Gefangene der Aimaràs;Treller, Franz;1906;m
k00200002280;Der Enkel der Könige;Treller, Franz;1904;m
k00200002282;Der Sohn des Gaucho;Treller, Franz;1890;m
k00200002283;Verwehte Spuren;Treller, Franz;1890;m
k00200002295;Rosa und Gertrud;Töpffer, Rudolf;1839;m
k00200002306;Die Rebächle;Villinger, Hermine;1910;f
k00200002310;Zwei Menschen;Voß, Richard;1911;m
k00200002311;Alpentragödie;Voß, Richard;1909;m
k00200002312;Die Auferstandenen – Erster Band;Voß, Richard;1887;m
k00200002313;Die Auferstandenen – Zweiter Band;Voß, Richard;1887;m
k00200002314;Brutus, auch Du!;Voß, Richard;1916;m
k00200002315;Michael Cibula;Voß, Richard;1887;m
k00200002316;Villa Falconieri;Voß, Richard;1896;m
k00200002318;Das Haus der Grimaldi;Voß, Richard;1917;m
k00200002321;Römisches Fieber;Voß, Richard;1902;m
k00200002322;Rolla;Voß, Richard;1883;m
k00200002327;Im Schatten des Todes;Walloth, Wilhelm;1909;m
k00200002328;Das Schatzhaus des Königs;Walloth, Wilhelm;1883;m
k00200002330;Alexander in Babylon;Wassermann, Jakob;1905;m
k00200002334;Sabbatai Zewi – Donna Johanna von Castilien – Geronimo de Aguilar – Sturreganz – Der Aufruhr um den Junker Ernst;Wassermann, Jakob;1913;m
k00200002343;Melusine;Wassermann, Jakob;1896;m
k00200002344;Der Moloch;Wassermann, Jakob;1903;m
k00200002347;Die Schwestern;Wassermann, Jakob;1906;m
k00200002358;Franziska;Weiß, Ernst;1916;m
k00200002359;Die Galeere;Weiß, Ernst;1913;m
k00200002361;Ich – der Augenzeuge;Weiß, Ernst;1897;m
k00200002363;Mensch gegen Mensch;Weiß, Ernst;1919;m
k00200002365;Tiere in Ketten;Weiß, Ernst;1918;m
k00200002369;Adlerflug;Werner, Elisabeth;1886;f
k00200002370;Fata Morgana;Werner, Elisabeth;1895;f
k00200002371;Glück auf!;Werner, Elisabeth;1890;f
k00200002373;Vineta;Werner, Elisabeth;1877;f
k00200002374;Lebensgeschichte Tobias Knauts;Wezel, Johann Karl;1776;m
k00200002377;Der Bürgermeister von Thorn;Wichert, Ernst;1900;m
k00200002384;Heinrich von Plauen;Wichert, Ernst;1881;m
k00200002388;Der Wilddieb;Wiechert, Ernst;1830;m
k00200002389;Die leibhaftige Bosheit;Mann, Mathilde;1912;f
k00200002390;Die Karlsbader Reise der leibhaftigen Bosheit;Wied, Gustav;1903;m
k00200002391;Der leibhaftigen Bosheit Opus III;Wied, Gustav;1913;m
k00200002392;Die Väter haben Herlinge gegessen;Wied, Gustav;1909;m
k00200002393;Aus jungen Tagen;Wied, Gustav;1907;m
k00200002394;Agathodämon;Wieland, Christoph Martin;1799;m
k00200002395;Geschichte des Weisen Danischmend und der drei Kalender;Wieland, Christoph Martin;1775;m
k00200002401;Schwester-Seele;Wildenbruch, Ernst von;1894;m
k00200002405;Die alte Freundin;Wildermuth, Ottilie;1885;f
k00200002425;Die Familie Ammer – Erste Abtheilung. Der Herrnhuter.;Willkomm, Ernst;1855;m
k00200002426;Die Familie Ammer – Zweite Abtheilung. Moderne Götzendiener.;Willkomm, Ernst;1855;m
k00200002427;Die Familie Ammer – Dritte Abtheilung. Geprüfte Seelen.;Willkomm, Ernst;1855;m
k00200002429;Reeder und Matrose;Willkomm, Ernst;1857;m
k00200002432;Die vier Töchter des Rittmeister Schimmelmann;Winterfeld, Adolf von;1920;m
k00200002433;Fabiola oder Die Kirche der Katakomben;Wiseman, Kardinal;1854;m
k00200002434;Die Göttin die da harret;Wit, Augusta de;1908;f
k00200002438;Das kleine Glück;Wohlbrück, Olga;1910;f
k00200002439;Du sollst ein Mann sein;Wohlbrück, Olga;1900;f
k00200002444;Der Raubgraf;Wolff, Julius;1884;m
k00200002445;Das schwarze Weib;Wolff, Julius;1894;m
k00200002446;Der Sülfmeister;Wolff, Julius;1883;m
k00200002447;Das Wildfangrecht;Wolff, Julius;1907;m
k00200002448;Das dritte Geschlecht;Wolzogen, Ernst von;1899;m
k00200002449;Die Erbschleicherinnen, Band 1;Wolzogen, Ernst von;1895;m
k00200002450;Die Erbschleicherinnen - Zweiter Band;Wolzogen, Ernst von;1895;m
k00200002453;Die Kinder der Excellenz;Wolzogen, Ernst von;1888;m
k00200002454;Der Kraft-Mayr;Wolzogen, Ernst v.;1897;m
k00200002458;Der Thronfolger - Erster Band;Wolzogen, Ernst von;1892;m
k00200002459;Der Thronfolger – Zweiter Band;Wolzogen, Ernst von;1892;m
k00200002461;Der schweizerische Robinson;Wyss, Johann David;1812;m
k00200002463;Das Naturforscherschiff;Wörishöffer, Sophie;1880;f
k00200002464;Onnen Visser - Der Schmugglersohn von Norderney;Wörishöffer, Sophie;1885;f
k00200002467;Das Liebesleben eines deutschen Jünglings;Zapp, Arthur;1920;m
k00200002468;Zwischen Mann und Frau;Zapp, Arthur;1914;m
k00200002470;Drei Mädchen am Spinnrad;Zobeltitz, Fedor von;1912;m
k00200002471;Besser Herr als Knecht;Zobeltitz, Fedor von;1900;m
k00200002496;Die Million;Zolling, Theophil;1893;m
k00200002503;Die Rose von Disentis;Zschokke, Heinrich;1822;m
k00200002508;Der Flüchtling im Jura;Zschokke, Heinrich;1822;m
k00200002511;Das Abenteuer der Neujahrsnacht;Zschokke, Heinrich;1818;m
k00200002519;Der Maskenball in der Ca' Torcelli;Adlersfeld-Ballestrem, Eufemia von;1910;f
k00200002520;Die Geächteten;Alexis, Willibald;1825;m
k00200002523;Der schwarze Koffer;Autor, Unbekannter;1846;m
k00200002532;Familie Dungs;Aram, Kurt;1913;m
k00200002545;Der Tod Georgs;Beer-Hofmann, Richard;1900;m
k00200002547;Frau Hempels Tochter;Berend, Alice;1912;f
k00200002552;Der Wilde Freiger;Betsch, Roland;1919;m
k00200002558;Geheimnisvolle Kräfte;Blüthgen, Viktor von;1920;m
k00200002559;In frischem Wasser;Böhlau, Helene;1891;f
k00200002560;Der gewürzige Hund;Böhlau, Helene;1916;f
k00200002562;Halbtier!;Böhlau, Helene;1899;f
k00200002563;Das Haus zur Flamm';Böhlau, Helene;1907;f
k00200002567;Das Recht der Mutter;Böhlau, Helene;1896;f
k00200002593;Die Nann;Croissant-Rust, Anna;1906;f
k00200002597;Winkelquartett;Croissant-Rust, Anna;1908;f
k00200002598;Vom Mars zur Erde;Daiber, Albert;1910;m
k00200002645;Flitter und Schein;Dransfeld, Hedwig;1913;f
k00200002646;Don Adone;Waldmüller, Robert_(Charles Edouard Duboc);1883;m
k00200002647;Kleopatra;Ebers, Georg;1894;m
k00200002652;Bebuquin;Einstein, Carl;1912;m
k00200002657;Frieden I;Eschstruth, Nataly von;1899;f
k00200002658;Frieden II;Eschstruth, Nataly von;1905;f
k00200002659;Hazard. Erster Band;Eschstruth, Nataly von;1870;f
k00200002660;Hazard. Zweiter Band;Eschstruth, Nataly von;1887;f
k00200002661;Alraune;Ewers, Hanns Heinz;1899;m
k00200002671;Der Zauberlehrling oder die Teufelsjäger;Ewers, Hanns Heinz;1909;m
k00200002674;Berge und Menschen;Federer, Heinrich;1911;m
k00200002689;Ein Kampf ums Recht;Franzos, Karl Emil;1893;m
k00200002693;Die drei Getreuen;Frenssen, Gustav;1898;m
k00200002694;Peter Moors Fahrt nach Südwest;Frenssen, Gustav;1911;m
k00200002695;Jörn Uhl;Frenssen, Gustav;1901;m
k00200002703;Die Berliner Range. Lotte Bach's Hochzeitsreise. Band X.;Georgy, Ernst;1898;m
k00200002704;Die Berliner Range. Frau Lotte in Rußland. Band XI.;Georgy, Ernst;1899;m
k00200002705;Die Berliner Range. Lotte als Mutter! Band XII.;Georgy, Ernst;1900;m
k00200002706;Die Berliner Range - Neue Bekenntnisse. Band I.;Georgy, Ernst;1900;m
k00200002707;Die Berliner Range - Neue Bekenntnisse. Band II.;Georgy, Ernst;1900;m
k00200002708;Die Berliner Range - Neue Bekenntnisse. Band III.;Georgy, Ernst;1900;m
k00200002709;Die Berliner Range - Neue Bekenntnisse. Band IV.;Georgy, Ernst;1900;m
k00200002710;Die Berliner Range – Lotte Bach als Braut. Band V.;Georgy, Ernst;1900;m
k00200002711;Die Berliner Range - Berlin, wie es ißt und trinkt. Band VI.;Georgy, Ernst;1901;m
k00200002712;Die Berliner Range VII - Prosit Brautpaar!;Georgy, Ernst;1900;m
k00200002713;Die Berliner Range VIII - Berlin wie es lebt und liebt;Georgy, Ernst;1901;m
k00200002714;Die Berliner Range. Hochzeitsvorbereitungen. Band IX.;Georgy, Ernst;1900;m
k00200002726;Heimisbach;Gfeller, Simon;1911;m
k00200002729;Masaniello;Glaser, Adolf;1888;m
k00200002730;Savonarola;Glaser, Adolf;1883;m
k00200002731;Schlitzwang;Glaser, Adolf;1878;m
k00200002732;Wulfhilde;Glaser, Adolf;1880;m
k00200002737;Zeitgeist und Berner Geist;Gotthelf, Jeremias;1852;m
k00200002738;Im Banne des Schwarzen Adlers;Gottschall, Rudolf von;1876;m
k00200002739;Parasiten;Gottschall, Rudolf von;1906;m
k00200002741;Firnenrausch;Grabein, Paul;1906;m
k00200002742;In Jena ein Student;Grabein, Paul;1890;m
k00200002744;Der König von Thule;Grabein, Paul;1907;m
k00200002747;Die vom Rauhen Grund;Grabein, Paul;1914;m
k00200002750;Ursula Drenck;Grabein, Paul;1919;m
k00200002751;Du mein Jena!;Grabein, Paul;1900;m
k00200002752;In der Philister Land;Grabein, Paul;1903;m
k00200002753;Im Wechsel der Zeit;Grabein, Paul;1900;m
k00200002754;Unsere liebe Frau. Erster Band;Grad, Max;1904;m
k00200002755;Unsere liebe Frau. Zweiter Band;Grad, Max;1906;m
k00200002759;Heilige und Menschen;Grazie, Marie Eugenie Delle;1909;f
k00200002769;Töte sie!;Groller, Balduin;1892;m
k00200002771;Der Genius;Grosse, Karl;1791;m
k00200002772;Ravensbeck;Grosse, Julius;1909;m
k00200002774;Die Partei;Großmann, Stefan;1919;m
k00200002776;Seraphine;Gutzkow, Karl;1837;m
k00200002778;Abraham Abt;Hadwiger, Victor;1912;m
k00200002779;Il Pantegan;Hadwiger, Victor;1919;m
k00200002785;Jo;Halbe, Max;1917;m
k00200002787;Die Tat des Dietrich Stobäus;Halbe, Max;1911;m
k00200002791;Drei Teilhaber;Harte, Bret;1901;m
k00200002794;Das Geheimnis der Sierra;Harte, Bret;1905;m
k00200002801;Die goldene Schlange;Heiberg, Hermann;1883;m
k00200002802;Trotzige Herzen;Heimburg, Wilhelmine;1898;f
k00200002805;Doktor Herzfeld. Erster Teil. Die Nacht;Hermann, Georg;1912;m
k00200002806;Doktor Herzfeld.Zweiter Teil. Schnee;Hermann, Georg;1913;m
k00200002808;Henriette Jacoby;Hermann, Georg;1908;m
k00200002809;Jettchen Gebert;Hermann, Georg;1906;m
k00200002811;Kubinke;Hermann, Georg;1910;m
k00200002816;Heinrich Schön jun.;Hermann, Georg;1915;m
k00200002817;Einen Sommer lang;Hermann, Georg;1917;m
k00200002820;Das große Heimweh;Herzog, Rudolf;1913;m
k00200002821;Die Wiskottens;Herzog, Rudolf;1905;m
k00200002826;Am Kreuz;Hillern, Wilhelmine von;1890;f
k00200002831;Die Sonne von St. Moritz;Höcker, Paul Oskar;1910;m
k00200002836;Der eiserne Rittmeister;Hoffmann, Hans;1890;m
k00200002841;Moschele;Hoffmann, Franz;1854;m
k00200002844;Arge Sitten;Hopfen, Hans;1869;m
k00200002845;Robert Leichtfuß;Hopfen, Hans;1888;m
k00200002846;Peregretta;Hopfen, Hans;1864;m
k00200002848;Ein Dieb in der Nacht;Hornung, Ernest William;1908;m
k00200002849;Ein Einbrecher aus Passion;Hornung, Ernest William;1903;m
k00200002850;Raffles als Richter;Hornung, Ernest William;1912;m
k00200002851;Der Schatten des Stricks. Erster Band;Hornung, Ernest William;1906;m
k00200002852;Der Schatten des Stricks. Zweiter Band;Hornung, Ernest William;1907;m
k00200002855;Schüsse in der Nacht;Hruschka, Annie;1914;f
k00200002856;Das silberne Auto;Hruschka, Annie;1910;f
k00200002857;Peter Michel;Huch, Friedrich;1901;m
k00200002858;Wilhelm Brinkmeyers Abenteuer;Huch, Rudolf;1911;m
k00200002859;Unter einem Dach;Hübener, Helene;1897;f
k00200002860;Die drei Freundinnen;Hübener, Helene;1899;f
k00200002861;Großmütterchen;Hübener, Helene;1902;f
k00200002862;Aus dem Leben einer Waise;Hübener, Helene;1912;f
k00200002863;Maria und Lisa;Hübener, Helene;1904;f
k00200002865;Die Nachbarn;Hübener, Helene;1914;f
k00200002867;Im Rosenhaus;Hübener, Helene;1910;f
k00200002875;Der Stern des Orsini;Huna, Ludwig;1920;m
k00200002884;Der rote Teufel;Janitschek, Maria;1916;f
k00200002888;Die Sebalds. Erster Band. Im alten Hause.;Jordan, Wilhelm;1885;m
k00200002889;Die Sebalds. Zweiter Band. Exodus;Jordan, Wilhelm;1885;m
k00200002890;Der Obstkahn am Elisabethufer;Kabel, Walter;1878;m
k00200002892;Am Ende der Welt;Kabel, Walter;1878;m
k00200002894;Wiener Kinder;Karlweis, Carl;1887;m
k00200002896;Michael Hely;Karrillon, Adam;1904;m
k00200002898;Ferien vom Ich;Keller, Paul;1915;m
k00200002902;Papas Junge;Koch, Henny;1905;f
k00200002903;Die Patentochter des alten Fritz;Koch, Henny;1916;f
k00200002904;Im Haus der Witwe;Kohlrausch, Robert;1901;m
k00200002905;Am toten See;Kohlrausch, Robert;1914;m
k00200002908;Die Jobsiade;Kortum, Carl Arnold;1799;m
k00200002909;Tubal der Friedlose;Krag, Thomas P.;1910;m
k00200002939;Mein Herz;Lasker-Schüler, Else;1912;f
k00200002951;Mascotte;Leipziger, Leo;1920;m
k00200002952;Die neuen Linden;Leipziger, Leo;1920;m
k00200002953;Der Rettungsball;Leipziger, Leo;1912;m
k00200002961;El Dorado;Mader, Friedrich Wilhelm;1900;m
k00200002963;Wunderwelten;Mader, Friedrich Wilhelm;1911;m
k00200002964;Ilsedores Glück;Mancke, Marie;1905;f
k00200002965;Die Gefangenen der Apachen. Erster Band;Margot, Paul;1868;m
k00200002966;Die Gefangenen der Apachen. Zweiter Band;Margot, Paul;1868;m
k00200002980;Der blaurote Methusalem;May, Karl;1892;m
k00200002988;Das Monogramm;Möllhausen, Balduin;1874;m
k00200002990;Berlin und Sanssouci oder Friedrich der Große und seine Freunde. Erstes Buch;Mühlbach, Luise;1859;f
k00200002991;Berlin und Sanssouci oder Friedrich der Große und seine Freunde. Zweites Buch;Mühlbach, Luise;1859;f
k00200002992;Berlin und Sanssouci oder Friedrich der Große und seine Freunde. Drittes Buch;Mühlbach, Luise;1859;f
k00200002993;Berlin und Sanssouci oder Friedrich der Große und seine Freunde. Viertes Buch;Mühlbach, Luise;1859;f
k00200002995;Die Millionenbraut. Erster Band;Dumas-Mützelburg;1914;m
k00200002996;Die Millionenbraut. Zweiter Band;Dumas-Mützelburg;1914;m
k00200002997;Die Millionenbraut. Dritter Band;Dumas-Mützelburg;1914;m
k00200002998;Die Millionenbraut. Vierter Band;Dumas-Mützelburg;1914;m
k00200003007;Die rote Tinktur;Nordhausen, Richard;1895;m
k00200003015;Jakob van der Nees. Erster Theil. Angela;Paalzow, Henriette;1788;f
k00200003016;Jakob van der Nees. Zweiter Theil. Urica;Paalzow, Henriette;1788;f
k00200003017;Jakob van der Nees. Dritter Theil. Floripes;Paalzow, Henriette;1788;f
k00200003020;Die Tänzerin Barberina;Paul, Adolf;1915;m
k00200003022;Der kluge Pitter;Perfall, Karl von;1918;m
k00200003043;Der Grabenhäger;Polenz, Wilhelm von;1897;m
k00200003044;Thekla Lüdekind. Erster Band;Polenz, Wilhelm von;1900;m
k00200003045;Thekla Lüdekind. Zweiter Band;Polenz, Wilhelm von;1900;m
k00200003055;Drude;Prellwitz, Gertrud;1920;f
k00200003056;Die Erde bebt!;Primer, Fred. W.;1906;m
k00200003065;Frau Übersee;Reck-Malleczewen, Fritz;1918;m
k00200003070;Sebastopol. Erster Band;Retcliffe, John;1856;m
k00200003071;Sebastopol. Zweiter Band;Retcliffe, John;1860;m
k00200003072;Der Tiger;Revel, Hugo Alphonso;1908;m
k00200003082;Die Grandidiers;Rodenberg, Julius;1878;m
k00200003085;Orion;Roquette, Otto;1851;m
k00200003087;Der Stegreifritter;Rosegger, Hans Ludwig;1909;m
k00200003089;Der sechste Sinn;Rosenkrantz, Palle;1913;m
k00200003091;Gräfin Polly;Rosenkrantz, Palle Adam Vilhelm;1907;m
k00200003092;Kerlchens Mutterglück. Provinzmädel Band IX;Rose, Felicitas;1902;f
k00200003093;Bertrade. Die Chronik des Mönchs von Le Saremon;Rüttenauer, Benno;1918;m
k00200003095;Die Enkelin der Liselotte;Rüttenauer, Benno;1912;m
k00200003097;Der Kardinal;Rüttenauer, Benno;1912;m
k00200003099;Prinzessin Jungfrau;Rüttenauer, Benno;1911;m
k00200003106;Ein Namenloser;Sack, Gustav;1919;m
k00200003109;Florian – Das Pferd des Kaisers;Salten, Felix;1919;m
k00200003114;Werden und Wachsen;Sapper, Agnes;1910;f
k00200003116;Huberta Sollacher;Schanz, Frida;1903;f
k00200003122;Subotins Erbe;Schlippenbach, Freifrau G. von;1904;f
k00200003127;Theaterkinder;Schumacher, Tony;1912;f
k00200003133;Joli;Siebe, Josephine;1900;f
k00200003134;Die Tasse des Königs;Siebe, Josephine;1916;f
k00200003144;Jan Blaufink oder See und Theater;Smidt, Heinrich;1864;m
k00200003149;Burschen heraus!;Sperl, August;1914;m
k00200003155;Hans Georg Portner;Sperl, August;1901;m
k00200003156;Richiza;Sperl, August;1909;m
k00200003157;Die Fahrt nach der alten Urkunde;Sperl, August;1893;m
k00200003158;Angela;Spielhagen, Friedrich;1881;m
k00200003159;Ein neuer Pharao;Spielhagen, Friedrich;1889;m
k00200003160;Sturmflut. Erste Abteilung;Spielhagen, Friedrich;1877;m
k00200003161;Sturmflut. Zweite Abteilung;Spielhagen, Friedrich;1877;m
k00200003162;Was will das werden? Erster Theil;Spielhagen, Friedrich;1885;m
k00200003163;Was will das werden? Zweiter Theil;Spielhagen, Friedrich;1885;m
k00200003164;Wo Gritlis Kinder hingekommen sind;Spyri, Johanna;1884;f
k00200003165;Gritlis Kinder kommen weiter;Spyri, Johanna;1886;f
k00200003171;Europa;Sternheim, Carl;1919;m
k00200003196;Der Stärn vo Buebebärg;Tavel, Rudolf von;1907;m
k00200003199;Der Advokatenbauer;Theden, Dietrich;1899;m
k00200003246;Tutu;Ungern-Sternberg, Alexander von;1846;m
k00200003247;Vierzehn Jahr' und sieben Wochen;Ury, Else;1911;f
k00200003249;Baumeisters Rangen;Ury, Else;1910;f
k00200003251;Dornröschen;Ury, Else;1916;f
k00200003253;Flüchtlingskinder;Ury, Else;1918;f
k00200003254;Goldblondchen;Ury, Else;1908;f
k00200003255;Das graue Haus;Ury, Else;1914;f
k00200003261;Nesthäkchens Backfischzeit;Ury, Else;1919;f
k00200003263;Nesthäkchen im Kinderheim;Ury, Else;1915;f
k00200003265;Nesthäkchen und der Weltkrieg;Ury, Else;1917;f
k00200003268;Nesthäkchen und ihre Puppen;Ury, Else;1913;f
k00200003269;Nesthäkchens erstes Schuljahr;Ury, Else;1915;f
k00200003271;Kommerzienrats Olly;Ury, Else;1913;f
k00200003275;Studierte Mädel von heute;Ury, Else;1906;f
k00200003285;Die Pfahlburg;Vleuten, Carl Ferdinand van;1909;m
k00200003287;Komtesse Helene;Wachenhusen, Hans;1900;m
k00200003288;Miß Lydia;Wachenhusen, Hans;1882;m
k00200003289;Was die Straße verschlingt. Erster Band;Wachenhusen, Hans;1882;m
k00200003290;Was die Straße verschlingt. Zweiter Band;Wachenhusen, Hans;1882;m
k00200003291;Was die Straße verschlingt. Dritter Band;Wachenhusen, Hans;1882;m
k00200003296;Gisli der Waldgänger aus Islands Heldenzeit;Weber, Leopold;1916;m
k00200003302;Der Teppich des Grauens;Weinert-Wilton, Louis;1900;m
k00200003309;Nahar;Weiß, Ernst;1918;m
k00200003329;Der Todfeind;Westkirch, Luise;1912;f
k00200003340;Die tolle Komteß;Wolzogen, Ernst von;1889;m
k00200003341;Durch graue Gassen;Wothe, Anny;1915;f
k00200003342;Auf hoher Warte;Wothe, Anny;1915;f