;lang;year;relfreqs
0;rom;1894;0.1357098186366479
1;rom;1894;0.10774586597040905
2;rom;1870;0.1403118040089087
3;rom;1908;0.1343134313431343
4;rom;1883;0.18413539967373574
5;rom;1873;0.13848844924301829
6;rom;1892;0.15537383177570094
7;rom;1892;0.09501807955002009
8;rom;1906;0.09835282883743136
9;rom;1894;0.1847121969276328
10;rom;1872;0.1817657241777265
11;rom;1887;0.1645095732163868
12;rom;1865;0.23582288314282543
13;rom;1865;0.15154503616042078
14;rom;1861;0.15955176093916756
15;rom;1855;0.20225075289269298
16;rom;1862;0.17825112107623317
17;rom;1864;0.15711993960554874
18;rom;1920;0.16470588235294117
19;rom;1920;0.1421399885255307
20;rom;1920;0.17344961240310078
21;rom;1894;0.14876847290640394
22;rom;1892;0.1290160642570281
23;rom;1912;0.12192424661321537
24;rom;1862;0.17654899272630337
25;rom;1899;0.14917825537294563
26;rom;1896;0.14082122195569352
27;rom;1898;0.1497163695299838
28;rom;1881;0.12949007786988193
29;rom;1903;0.1942231075697211
30;rom;1861;0.14718027371401604
31;rom;1890;0.16066630843632457
32;rom;1920;0.13022002694207455
33;rom;1855;0.1560364464692483
34;rom;1908;0.12240945186906838
35;rom;1902;0.19966092853416798
36;rom;1893;0.12751141552511416
37;rom;1902;0.10955710955710955
38;rom;1882;0.13261013947310163
39;rom;1912;0.17541027710519236
40;rom;1873;0.1583772186463819
41;rom;1906;0.14002232419694902
42;rom;1858;0.14918835351713475
43;rom;1873;0.11939993876926216
44;rom;1863;0.13732427148310214
45;rom;1855;0.10375275938189846
46;rom;1903;0.115802034206489
47;rom;1891;0.08795235913879981
48;rom;1882;0.13531553398058252
49;rom;1885;0.10306345733041576
50;rom;1883;0.13177014531043593
51;rom;1907;0.1595501334349981
52;rom;1902;0.17730299667036625
53;rom;1904;0.08109724833361819
54;rom;1906;0.1178584706902962
55;rom;1904;0.14135237147789448
56;rom;1912;0.11793185347583814
57;rom;1889;0.1670428893905192
58;rom;1907;0.16473554339663127
59;rom;1903;0.1641224665804226
60;rom;1906;0.16790598512817848
61;rom;1887;0.10315910396323952
62;rom;1898;0.11019586307889438
63;rom;1909;0.13805970149253732
64;rom;1920;0.15798922800718132
65;rom;1913;0.1377101681345076
66;rom;1864;0.1278843480678343
67;rom;1913;0.15577804174444257
68;rom;1908;0.23584081836327345
69;rom;1920;0.16287015945330297
70;rom;1906;0.20630198865201343
71;rom;1902;0.1432609342457602
72;rom;1920;0.1810600593376634
73;rom;1910;0.12702750876359098
74;rom;1914;0.12609335758205595
75;rom;1920;0.14344626542002914
76;rom;1914;0.16676137313233277
77;rom;1912;0.12012061403508772
78;rom;1904;0.16009354735835016
79;rom;1883;0.13937153419593346
80;rom;1916;0.12946428571428573
81;rom;1906;0.18018098736672342
82;rom;1918;0.15235585864848109
83;rom;1899;0.11313068003760576
84;rom;1911;0.1368704344482891
85;rom;1871;0.12436363636363636
86;rom;1916;0.17900485436893204
87;rom;1899;0.16633399866932802
88;rom;1875;0.17675741568468104
89;rom;1908;0.1292580494633691
90;rom;1920;0.14627622131493734
91;rom;1910;0.12794371051120046
92;rom;1911;0.2094913972395538
93;rom;1903;0.15224302366654893
94;rom;1862;0.12887474228668572
95;rom;1853;0.16173776498298875
96;rom;1860;0.12012562156503533
97;rom;1871;0.10204390613171839
98;rom;1876;0.10422397457057277
99;rom;1863;0.1321347530109967
0;nor;1880;0.15291338582677166
1;nor;1892;0.16687314172447967
2;nor;1918;0.12827317763623497
3;nor;1883;0.1381982346203086
4;nor;1855;0.1466379774072082
5;nor;1883;0.1648824904638858
6;nor;1907;0.19212657750988887
7;nor;1886;0.16462778568041725
8;nor;1860;0.18091934084995664
9;nor;1919;0.13972363831499865
10;nor;1892;0.13862058557198914
11;nor;1886;0.15486411973217803
12;nor;1887;0.10183021806853583
13;nor;1888;0.16928124679585768
14;nor;1882;0.16449378692198002
15;nor;1874;0.1540875309661437
16;nor;1885;0.18632966326448605
17;nor;1892;0.18835192069392812
18;nor;1881;0.17371616754142225
19;nor;1905;0.17630099466628227
20;nor;1892;0.11154020899591095
21;nor;1891;0.11091032301784504
22;nor;1881;0.14572217111315547
23;nor;1915;0.14404626303338297
24;nor;1840;0.15279415232256544
25;nor;1858;0.14317925591882752
26;nor;1867;0.14904909332153915
27;nor;1881;0.14505269320843092
28;nor;1882;0.13381410256410256
29;nor;1892;0.16697220796362836
30;nor;1898;0.14235944257568478
31;nor;1895;0.14872068230277186
32;nor;1896;0.19420783645655879
33;nor;1898;0.13768755516328332
34;nor;1899;0.19239483191476334
35;nor;1900;0.11396238444373605
36;nor;1902;0.14551083591331268
37;nor;1904;0.09686764439616151
38;nor;1906;0.15208308463650472
39;nor;1904;0.17790432801822323
40;nor;1905;0.15906254333656913
41;nor;1905;0.11576731725985458
42;nor;1894;0.13899915403136592
43;nor;1893;0.17401719036212485
44;nor;1902;0.1819527539628693
45;nor;1912;0.16663608001468158
46;nor;1857;0.17263703064307295
47;nor;1895;0.1369141653501843
48;nor;1909;0.17507418397626112
49;nor;1914;0.16582576522031617
50;nor;1911;0.17570815855210445
51;nor;1896;0.155049786628734
52;nor;1890;0.15330739299610896
53;nor;1906;0.14808110065170166
54;nor;1866;0.1749034749034749
0;deu;1845;0.1262247237856994
1;deu;1853;0.13753511664834495
2;deu;1859;0.1516707196253265
3;deu;1859;0.138612433290062
4;deu;1855;0.15217308931074988
5;deu;1847;0.1454183266932271
6;deu;1841;0.13515182707153886
7;deu;1843;0.14906505135633394
8;deu;1859;0.154851056748211
9;deu;1848;0.12266171640725404
10;deu;1855;0.12635
11;deu;1847;0.1443972557987586
12;deu;1856;0.15035475792988315
13;deu;1840;0.13994250858865595
14;deu;1840;0.17695454122896717
15;deu;1846;0.13916409382056127
16;deu;1843;0.138366124893071
17;deu;1845;0.13320810192747468
18;deu;1846;0.13487031700288185
19;deu;1846;0.1439768161759863
20;deu;1843;0.15199774504967936
21;deu;1844;0.1699838622915546
22;deu;1841;0.1510966693744923
23;deu;1861;0.12964739683543974
24;deu;1855;0.11831480953738006
25;deu;1879;0.15107091861018562
26;deu;1876;0.10949059395476643
27;deu;1871;0.12699107299142307
28;deu;1879;0.14746897990556715
29;deu;1864;0.125
30;deu;1870;0.13619075482738444
31;deu;1874;0.0859148651660352
32;deu;1855;0.13215968261839822
33;deu;1879;0.13441051136363635
34;deu;1878;0.1324905627249583
35;deu;1880;0.11979736342179495
36;deu;1872;0.14994356659142213
37;deu;1864;0.11645863570391872
38;deu;1861;0.1564460476787955
39;deu;1867;0.14107038976148925
40;deu;1868;0.13461858068805052
41;deu;1865;0.12513513513513513
42;deu;1869;0.1715649901603381
43;deu;1876;0.1234588264401468
44;deu;1865;0.09153005464480875
45;deu;1879;0.18240106124253813
46;deu;1862;0.11319779462439697
47;deu;1880;0.1213030733209196
48;deu;1863;0.12394822006472492
49;deu;1867;0.11722925972028996
50;deu;1885;0.16135173726796764
51;deu;1880;0.15875865606565787
52;deu;1884;0.1569713758079409
53;deu;1898;0.1511443250817375
54;deu;1890;0.14097609846858453
55;deu;1889;0.14924181963288108
56;deu;1896;0.1615746769508164
57;deu;1881;0.13074484944532488
58;deu;1888;0.17391950096539432
59;deu;1897;0.14745308310991956
60;deu;1888;0.12119723613976488
61;deu;1895;0.14454135338345864
62;deu;1894;0.1585168018539977
63;deu;1892;0.12221664155365813
64;deu;1897;0.15808008347463154
65;deu;1898;0.16115683047260757
66;deu;1895;0.13085969852575782
67;deu;1898;0.10731628358692133
68;deu;1888;0.11423722758127902
69;deu;1882;0.1392570468545828
70;deu;1886;0.13837584286133098
71;deu;1887;0.14369345396487493
72;deu;1899;0.15706997084548105
73;deu;1889;0.1537382240930046
74;deu;1896;0.15404219170324224
75;deu;1908;0.1270442156268928
76;deu;1903;0.1779007923586237
77;deu;1919;0.1357336861898461
78;deu;1910;0.14738341046635814
79;deu;1907;0.1545258620689655
80;deu;1901;0.14016982895217975
81;deu;1915;0.11641077271583186
82;deu;1914;0.14631043256997456
83;deu;1909;0.1273759565539373
84;deu;1914;0.14975422810963926
85;deu;1905;0.12811059907834102
86;deu;1903;0.14382767191383597
87;deu;1906;0.2040203327171904
88;deu;1909;0.12296462661426165
89;deu;1912;0.18694690265486727
90;deu;1918;0.11789297658862877
92;deu;1920;0.1419068736141907
93;deu;1908;0.14616225406849648
94;deu;1918;0.1060184507248499
95;deu;1915;0.14933837429111532
96;deu;1911;0.15344678396308048
97;deu;1913;0.1682653876898481
98;deu;1914;0.11920260374288039
99;deu;1903;0.1250758035172832
0;slv;1891;0.1288784812243874
1;slv;1896;0.107596807567248
2;slv;1883;0.12738853503184713
3;slv;1897;0.10975191494226592
4;slv;1894;0.13272238900300207
5;slv;1892;0.11476664116296863
6;slv;1881;0.13758662861801876
7;slv;1883;0.10746168098366178
8;slv;1877;0.1280193236714976
9;slv;1883;0.126078301260783
10;slv;1891;0.10794117647058823
11;slv;1885;0.10034354423131978
12;slv;1870;0.13449407014887713
13;slv;1892;0.15463558879805184
14;slv;1895;0.12409177820267686
15;slv;1894;0.1405991809756448
16;slv;1891;0.09028200446338
17;slv;1883;0.14916512059369202
18;slv;1893;0.11690719987099896
19;slv;1885;0.11635621331972441
20;slv;1876;0.12415488629379226
21;slv;1881;0.14799353622407757
22;slv;1886;0.15094647519582247
23;slv;1887;0.1464195836193091
24;slv;1885;0.15609990393852066
25;slv;1896;0.16388225934765313
26;slv;1897;0.13374510036821474
27;slv;1899;0.11935585727818124
28;slv;1897;0.11067073170731707
29;slv;1877;0.16717660017133765
30;slv;1903;0.12381293674968644
31;slv;1917;0.119533527696793
32;slv;1916;0.1624203821656051
33;slv;1909;0.13496932515337423
34;slv;1910;0.1165398066241514
35;slv;1917;0.12166838118395212
36;slv;1882;0.13611139138331146
37;slv;1908;0.11349490133757119
38;slv;1900;0.19516544481870418
39;slv;1909;0.1584986213644045
40;slv;1906;0.13970588235294118
41;slv;1902;0.12029495927801012
42;slv;1905;0.1235467255334805
43;slv;1901;0.14980949082092138
44;slv;1915;0.10897700107163466
45;slv;1895;0.14545844044558698
46;slv;1901;0.10271104253912276
47;slv;1903;0.13507162041181736
48;slv;1904;0.13285847011458657
49;slv;1904;0.11363145387772737
50;slv;1910;0.13846153846153847
51;slv;1904;0.1188893653516295
52;slv;1907;0.12081662413415968
53;slv;1909;0.16828563927540036
54;slv;1909;0.15175410363694883
55;slv;1895;0.1267080745341615
56;slv;1917;0.1152129817444219
57;slv;1918;0.13642544190965403
58;slv;1913;0.12740893545410129
59;slv;1904;0.11312820512820512
60;slv;1903;0.1182368915813662
61;slv;1912;0.09182464454976304
62;slv;1905;0.1041061046511628
63;slv;1909;0.10915036712531623
64;slv;1911;0.11332370123751492
65;slv;1904;0.11252604769622598
66;slv;1876;0.11105263157894738
68;slv;1905;0.13222384784198976
69;slv;1907;0.068543504583982
70;slv;1910;0.18908544726301735
71;slv;1866;0.1752349364289663
72;slv;1876;0.17348130841121495
73;slv;1876;0.16523400191021967
74;slv;1873;0.15211891208096143
75;slv;1877;0.1640841173215274
76;slv;1884;0.09869848156182212
77;slv;1904;0.13061018658598084
78;slv;1907;0.16763101339064307
79;slv;1914;0.13895368210596468
80;slv;1886;0.13513513513513514
81;slv;1903;0.142853933089177
82;slv;1913;0.11300044649501415
83;slv;1917;0.10384462940943322
84;slv;1898;0.15468651044965168
85;slv;1896;0.147808650816385
86;slv;1910;0.10813976185828617
87;slv;1870;0.1995880064087892
88;slv;1875;0.18793018682399212
89;slv;1876;0.19059583632447955
90;slv;1919;0.11866681579241696
91;slv;1911;0.12649253731343282
92;slv;1889;0.11965607833771197
93;slv;1889;0.13240270727580372
95;slv;1911;0.1634142917310122
96;slv;1900;0.15172215431077873
97;slv;1859;0.11792666364870982
98;slv;1884;0.135386523356759
99;slv;1913;0.16806722689075632
0;spa;1844;0.09908683114386414
1;spa;1852;0.09204957678355502
2;spa;1855;0.08751229105211406
3;spa;1844;0.14960223924572774
4;spa;1852;0.12020378920554052
5;spa;1855;0.10163468372423597
6;spa;1859;0.13649720834557744
7;spa;1856;0.11362835600028187
8;spa;1840;0.12431077694235589
9;spa;1856;0.12515547263681592
10;spa;1852;0.09121651686393166
11;spa;1850;0.12322007613139715
12;spa;1842;0.10901606692338335
13;spa;1859;0.110723760661273
14;spa;1856;0.10257229589391277
15;spa;1857;0.11418992209841239
16;spa;1853;0.13302630413603755
17;spa;1856;0.09235748070699527
18;spa;1841;0.13774226956650393
19;spa;1842;0.13094367227505485
20;spa;1857;0.111197815060476
21;spa;1853;0.12186279977691021
22;spa;1846;0.13748674234984484
23;spa;1877;0.13072519083969467
24;spa;1867;0.13725868725868726
25;spa;1873;0.11999406704242065
26;spa;1875;0.11728024042073629
27;spa;1874;0.11325374961738598
28;spa;1872;0.16184351554126475
29;spa;1872;0.13234714003944772
30;spa;1857;0.09721706864564007
31;spa;1878;0.161231884057971
32;spa;1874;0.07596982758620689
33;spa;1863;0.06610235202894806
34;spa;1860;0.12102597767982744
35;spa;1862;0.11211726154821888
36;spa;1875;0.11293721028234302
37;spa;1876;0.12346263008514664
38;spa;1879;0.11745490697344127
39;spa;1874;0.13209435310936382
40;spa;1876;0.13849670566088476
41;spa;1875;0.12494904198940074
42;spa;1879;0.10654462242562929
43;spa;1878;0.12622051737255896
44;spa;1865;0.13499867127292053
45;spa;1887;0.1463209971504991
46;spa;1884;0.15435858886959228
47;spa;1890;0.15194718208783847
48;spa;1886;0.09762168141592921
49;spa;1887;0.11207273363056211
50;spa;1881;0.12115982050396962
51;spa;1885;0.11228121141695112
52;spa;1895;0.11367413414877352
53;spa;1894;0.1231406514780644
54;spa;1898;0.11076970348747887
55;spa;1894;0.12294372294372294
56;spa;1880;0.06810240772504923
57;spa;1890;0.09427812650893289
58;spa;1890;0.1034763163244562
59;spa;1885;0.15476190476190477
60;spa;1896;0.1395067165822506
61;spa;1881;0.1449070806868972
62;spa;1897;0.07571772956388341
63;spa;1885;0.12092911877394635
64;spa;1887;0.1053921568627451
65;spa;1891;0.10192350210037586
66;spa;1890;0.09895165987186955
67;spa;1889;0.12422360248447205
68;spa;1892;0.10582317662990907
69;spa;1885;0.1578773350967102
70;spa;1886;0.1397712833545108
71;spa;1883;0.11192553810354858
72;spa;1881;0.09621704241497898
73;spa;1882;0.10861509958314035
